model,first_reg,fuel,mileage_km,seller_type,swift,price,power_hp
cla 180,1/04/2018,0,105000,0,0,20900,109
b 180,1/02/2014,0,170000,1,0,11500,109
b 200,1/04/2011,0,160000,0,0,7500,140
glc 220,1/01/2023,0,5000,1,1,54000,194
cla 200,1/06/2015,0,168977,1,1,14000,136
a 180,1/09/2014,0,153670,0,0,16000,109
b 200,1/04/2017,0,56910,0,1,20900,136
gle 350,1/06/2018,0,96471,0,0,50900,258
300,1/06/2021,0,26550,0,0,61900,245
e 220,1/07/2012,0,160000,0,0,20500,170
a 200,1/09/2022,0,12000,1,1,39900,150
g 350,1/02/2015,0,98000,1,0,66400,211
a 180,1/11/2018,0,63347,0,0,28400,116
a 180,1/03/2013,0,176262,1,1,11000,109
citan,1/07/2019,0,89800,0,1,20900,116
gla 200,1/11/2015,0,110000,1,0,17999,136
gla 200,1/04/2016,0,96000,1,1,22500,136
c 220,1/01/2019,0,75755,0,1,35000,194
c 300,1/12/2019,0,68000,1,0,38900,245
citan,1/11/2019,0,57800,0,1,18690,116
a 180,1/10/2010,0,85000,0,1,6690,109
b 180,1/12/2019,0,82238,0,0,25500,116
c 220,1/03/2016,0,226515,1,1,24900,170
gle 350,1/08/2020,0,69900,0,0,71500,272
viano,1/04/2015,0,230000,1,0,25500,163
b 180,1/07/2016,0,125917,0,0,16900,109
a 180,1/03/2020,0,64055,0,0,30400,116
vito,1/07/2017,0,116589,0,1,25000,114
cls 350,1/06/2017,0,81000,1,1,32900,258
c 220,1/02/2010,0,185200,0,0,7400,170
glb 220,1/04/2021,0,31200,0,0,47900,190
cla 200,1/08/2016,0,112000,1,1,24800,136
cla 200,1/12/2019,0,30521,0,0,38900,150
citan,1/08/2019,0,119214,1,1,11950,95
vito,1/08/2012,0,312000,1,0,16200,163
a 200,1/03/2021,0,30000,1,1,39000,150
c 220,1/05/2018,0,90000,1,0,26400,170
cla 220,1/12/2018,0,33000,1,1,27900,177
gla 180,1/08/2016,0,121300,0,0,19900,109
cla 200,1/03/2021,0,27000,1,1,47500,150
b 200,1/07/2021,0,28693,0,0,32900,150
e 220,1/08/2017,0,189000,1,0,24999,194
glc 220,1/09/2019,0,70689,0,0,52400,193
b 180,1/09/2018,0,90000,0,0,20900,109
gla 200,1/11/2019,0,55600,1,0,29300,136
glc 220,1/12/2019,0,48717,0,0,50900,193
e 350,1/03/2018,0,48491,1,0,51999,258
glc 300,1/12/2020,0,42147,0,0,53900,194
a 200,1/06/2014,0,94000,0,0,18900,136
glc 250,1/12/2017,0,148000,1,1,41000,204
c 200,1/06/2015,0,161204,0,0,15800,136
a 200,1/03/2015,0,80000,1,1,19900,136
glc 250,1/10/2017,0,105000,1,1,39000,204
a 180,1/12/2013,0,127584,0,1,14500,109
cls 250,1/02/2015,0,215000,1,1,24000,204
b 180,1/07/2020,0,51074,0,0,26000,116
a 180,1/06/2015,0,146000,0,1,15900,109
cls 250,1/03/2017,0,120000,0,0,28999,204
c 250,1/06/2017,0,78000,1,1,38000,204
e 220,1/09/2015,0,168500,0,0,16900,170
e 220,1/07/2012,0,105000,0,0,21800,170
gle 400,1/08/2019,0,49199,0,0,72800,330
e 200,1/03/2011,0,66787,0,0,14900,136
a 200,1/02/2017,0,99445,0,0,20500,136
vito,1/04/2020,0,67110,0,1,24900,136
c 250,1/06/2018,0,133130,0,0,27400,204
b 200,1/03/2018,0,20980,0,1,26800,136
glc 250,1/10/2018,0,100164,0,0,39500,204
c 180,1/03/2016,0,98000,0,0,18900,116
a 180,1/02/2017,0,143114,0,1,16400,109
glc 250,1/06/2016,0,130000,1,1,29000,204
cl 220,1/07/2016,0,137200,1,1,26000,170
c 220,1/05/2018,0,83713,0,1,30900,170
e 220,1/02/2012,0,247000,0,0,11490,170
gle 400,1/05/2021,0,70000,1,1,87000,330
b 180,1/09/2010,0,163000,1,0,6700,109
b 180,1/02/2020,0,56311,0,0,28100,116
b 200,1/06/2021,0,21200,0,0,37900,150
c 220,1/06/2018,0,133293,0,0,27900,170
g 350,1/04/2018,0,67000,1,0,85000,245
b 180,1/07/2019,0,107399,0,0,24400,116
cla 200,1/09/2015,0,210000,1,1,17200,136
a 200,1/05/2017,0,168000,1,1,17500,136
a 180,1/11/2012,0,105000,0,1,12900,109
v,1/03/2019,0,100000,1,1,56000,190
e 220,1/09/2013,0,114000,1,0,25000,170
e 220,1/11/2017,0,136948,0,0,28900,193
e 350,1/07/2010,0,320000,1,1,12500,231
c 220,1/06/2019,0,55000,1,1,41900,170
a 180,1/05/2022,0,14076,0,0,30700,116
cla 180,1/06/2015,0,190000,1,0,17000,109
b 200,1/02/2022,0,22520,0,0,35800,150
a 180,1/02/2015,0,80917,1,1,19000,109
b 200,1/02/2014,0,78200,1,0,20300,136
glc 250,1/10/2018,0,205016,0,0,33900,204
e 220,1/09/2021,0,12000,0,0,53900,194
e 220,1/02/2020,0,91543,0,1,43000,194
e 300,1/01/2020,0,57000,1,1,48000,245
glc 300,1/04/2021,0,113110,0,0,43900,245
b 180,1/12/2019,0,69102,0,0,28900,116
s 400,1/02/2018,0,136000,0,0,57999,340
a 160,1/02/2018,0,96500,1,0,18500,90
c 250,1/06/2011,0,308000,1,1,10000,204
c 250,1/05/2012,0,287649,1,1,10000,204
cla 200,1/09/2018,0,100000,1,0,24000,140
e 220,1/06/2018,0,149000,0,0,37500,194
c 220,1/08/2017,0,86000,0,0,33500,170
gla 200,1/04/2015,0,100000,0,0,19900,136
a 180,1/04/2013,0,110000,1,1,14800,109
c 220,1/01/2017,0,140000,1,1,31000,170
vito,1/02/2020,0,260000,1,0,34000,163
c 220,1/09/2015,0,108502,0,0,20900,170
a 180,1/02/2020,0,82000,0,0,28900,116
a 200,1/12/2016,0,86000,1,1,22500,136
b 180,1/04/2013,0,133000,0,0,13000,109
glc 220,1/10/2020,0,33363,0,0,45800,194
a 180,1/10/2017,0,76300,1,1,21400,109
s 350,1/05/2021,0,36983,0,0,112000,286
b 180,1/02/2020,0,64556,0,0,26900,116
gla 200,1/08/2019,0,84000,1,0,27400,136
c 220,1/06/2017,0,328676,0,0,15400,170
e 220,1/03/2017,0,187000,0,0,21900,194
gla 200,1/09/2019,0,63497,0,0,27200,136
b 200,1/04/2019,0,150000,1,0,23500,150
cla 200,1/12/2018,0,55000,1,1,28000,136
gle 350,1/01/2020,0,99500,0,0,70000,272
vito,1/03/2018,0,98600,0,1,22500,136
b 180,1/04/2012,0,150000,0,1,13800,109
glc 250,1/11/2018,0,82726,1,1,40999,204
gla 200,1/09/2019,0,42062,1,1,39000,136
a 180,1/02/2013,0,207711,0,0,10300,109
a 180,1/12/2018,0,105000,0,0,23900,116
b 180,1/01/2015,0,69900,0,0,17400,109
g 350,1/06/2017,0,185830,0,0,79900,245
c 220,1/12/2017,0,54000,1,1,35000,170
b 180,1/10/2010,0,140000,1,1,7800,109
v 220,1/01/2016,0,190000,1,1,30000,163
c 200,1/04/2016,0,94468,1,1,21000,136
e 220,1/06/2019,0,135000,0,0,37500,194
c 220,1/03/2015,0,93760,0,0,25550,170
a 200,1/03/2019,0,36637,0,0,23900,136
b 180,1/07/2019,0,48000,1,1,24500,116
c 220,1/10/2018,0,128061,1,0,35000,170
cls 250,1/12/2013,0,17000,1,1,29500,204
e 220,1/10/2017,0,109837,0,0,34800,193
a 180,1/08/2014,0,82120,1,1,14500,109
citan,1/12/2014,0,267000,1,1,6300,90
glc 250,1/02/2019,0,106000,0,0,37900,204
a 180,1/04/2016,0,141000,1,1,16000,109
e 220,1/05/2017,0,213000,1,0,30000,194
c 200,1/11/2010,0,67000,1,1,16500,136
b 200,1/10/2015,0,114500,1,0,17400,136
a 180,1/12/2018,0,43150,0,0,29300,116
glc 250,1/05/2017,0,93000,0,1,34999,204
b 180,1/04/2013,0,235000,0,0,10900,109
glc 220,1/01/2020,0,93355,0,0,52500,194
cla 200,1/06/2019,0,90000,0,0,30000,136
s 350,1/07/2011,0,190000,0,0,19999,258
e 220,1/02/2019,0,129950,0,0,34900,194
glc 250,1/05/2018,0,32000,0,0,43900,204
a 200,1/06/2017,0,108153,0,0,21500,136
glc 250,1/11/2017,0,175000,1,1,28900,204
glc 300,1/09/2021,0,26900,0,0,61800,245
gla 200,1/11/2018,0,85435,0,0,28500,136
gla 200,1/05/2021,0,70000,1,0,39900,150
glc 250,1/03/2018,0,119000,0,0,35900,204
b 180,1/11/2018,0,90000,0,0,17800,109
b 200,1/11/2018,0,196000,1,1,13000,136
a 200,1/04/2016,0,166500,0,0,16990,136
a 180,1/03/2022,0,32434,0,0,30000,116
e 350,1/02/2017,0,115000,1,1,42500,258
gla 220,1/01/2018,0,73000,1,1,28000,177
glk 220,1/08/2011,0,167000,1,0,14500,170
e 220,1/06/2016,0,164361,0,0,26900,194
glc 250,1/06/2018,0,60288,0,0,43785,204
a 180,1/05/2013,0,128000,1,1,15500,109
cla 200,1/12/2018,0,67500,1,0,27000,136
cla 200,1/02/2019,0,118800,0,0,25200,136
cls 300,1/07/2020,0,37498,0,0,65500,245
citan,1/02/2016,0,96803,1,1,15000,110
a 180,1/08/2017,0,75000,1,1,22500,109
gla 200,1/12/2018,0,30000,0,0,28900,136
c 220,1/11/2017,0,115000,1,0,23000,170
a 180,1/02/2015,0,106000,1,1,17700,109
c 220,1/06/2018,0,123585,0,0,33000,170
b 200,1/06/2011,0,100000,1,1,8000,140
b 180,1/07/2019,0,185000,0,1,22500,116
cla 180,1/01/2018,0,87900,0,0,21900,109
e 200,1/12/2019,0,88000,0,0,31900,160
cla 200,1/05/2019,0,39523,0,1,31900,136
gle 350,1/07/2017,0,104000,0,0,48900,258
b 180,1/12/2013,0,146350,0,1,12000,109
a 180,1/05/2018,0,35000,1,1,23900,109
a 180,1/02/2017,0,94984,0,0,22100,109
b 180,1/12/2019,0,23162,0,1,28900,116
c 220,1/01/2012,0,126373,0,0,14699,170
glc 250,1/09/2017,0,88000,1,1,42700,204
s 350,1/09/2015,0,234370,0,0,30500,258
cla 220,1/10/2013,0,104000,1,1,17000,170
b 180,1/06/2019,0,65233,0,0,27800,116
s1rinter,1/10/2017,0,159000,0,1,25900,163
gla 220,1/11/2014,0,156635,0,0,19990,170
c 250,1/12/2017,0,100000,1,1,32000,204
glc 250,1/10/2018,0,62683,0,0,43400,204
glc 220,1/03/2016,0,209170,1,0,32500,170
glc 220,1/10/2017,0,89000,1,1,31500,170
b 180,1/10/2017,0,60300,0,1,21000,109
a 200,1/09/2014,0,165000,1,1,15300,136
b 180,1/09/2016,0,114500,0,1,17500,109
a 180,1/06/2011,0,119000,0,1,8500,109
c 220,1/07/2022,0,11149,0,0,52500,194
glc 220,1/05/2017,0,138000,0,1,27900,170
glc 220,1/11/2019,0,55361,0,0,46500,194
c 180,1/03/2017,0,95000,0,1,19800,116
v 250,1/11/2021,0,16496,0,0,62790,190
vito,1/09/2020,0,58068,0,0,46200,136
gla 200,1/11/2014,0,130000,1,0,20000,136
cla 220,1/06/2016,0,66364,0,1,25200,177
e 220,1/11/2019,0,100530,0,0,35900,194
e 220,1/01/2022,0,20200,0,0,52950,194
c 200,1/10/2016,0,175000,0,1,18450,136
cla 200,1/01/2018,0,75900,0,1,24900,136
glc 220,1/02/2020,0,66487,0,0,55400,194
cla 200,1/01/2019,0,162000,0,0,19900,136
gle 300,1/10/2022,0,54000,1,0,82000,245
glc 250,1/10/2017,0,80000,0,0,30890,204
b 180,1/06/2021,0,49386,0,0,25500,116
c 200,1/03/2015,0,216067,0,1,13990,136
b 180,1/09/2019,0,68000,0,0,28500,116
b 180,1/10/2019,0,57000,1,0,33000,116
c 220,1/10/2012,0,250000,1,1,9900,170
gla 200,1/11/2015,0,104000,1,1,22000,136
a 180,1/10/2010,0,181000,0,0,4900,109
c 200,1/10/2015,0,130000,1,1,16000,136
b 180,1/05/2012,0,291000,1,1,8800,109
c 220,1/06/2019,0,96500,0,0,34900,194
v 250,1/06/2018,1,197000,1,0,10000,194
cla 200,1/11/2015,0,50000,1,0,21000,136
glc 250,1/06/2018,0,112167,0,0,37500,204
c 220,1/01/2017,0,135000,0,0,30500,163
c 220,1/06/2017,0,193000,0,1,19000,170
glc 250,1/02/2018,0,70000,1,1,39000,204
c 220,1/07/2021,0,14783,0,0,41980,194
cla 200,1/09/2018,0,243548,0,0,18000,136
e 220,1/01/2019,0,94680,0,0,41800,193
vito,1/08/2020,0,51123,0,0,37000,136
glb 200,1/02/2021,0,75000,1,0,39900,150
c 220,1/09/2014,0,87000,0,1,19900,170
cla 180,1/06/2020,0,41500,1,0,39900,116
ml 350,1/12/2011,0,200000,1,1,19990,258
gle 350,1/01/2018,0,137000,1,1,45900,258
a 200,1/12/2020,0,18300,0,0,34490,150
b 160,1/10/2018,0,40000,0,0,21300,90
a 200,1/12/2019,0,23500,1,1,31950,150
a 200,1/07/2013,0,74000,0,1,17400,136
b 180,1/12/2019,0,141670,0,0,22700,116
glc 220,1/09/2015,0,130000,1,0,26500,170
cla 200,1/06/2015,0,240000,1,1,17300,136
e 250,1/06/2010,0,260000,0,0,5499,204
a 180,1/10/2017,0,46900,0,0,18900,109
gle 350,1/01/2017,0,198000,1,1,36900,258
c 220,1/07/2018,0,115454,0,0,33900,194
e 220,1/11/2017,0,188366,0,0,27000,194
gla 200,1/02/2021,0,30473,0,0,37500,150
glc 400,1/03/2021,0,18000,0,0,66900,330
glc 250,1/06/2018,0,87500,1,0,42000,204
glc 200,1/01/2020,0,6900,0,1,48000,163
e 220,1/01/2015,0,126000,1,0,25500,170
gle 250,1/07/2016,0,71600,0,0,34900,204
gla 200,1/02/2021,0,72000,1,0,41900,150
gle 400,1/04/2021,0,23820,0,0,83990,330
cla 220,1/04/2015,0,180000,1,1,22000,177
v,1/03/2019,0,143000,1,1,60000,163
cla 180,1/05/2017,0,124000,0,0,23500,109
cla 200,1/01/2019,0,49349,0,0,33000,136
x 250,1/01/2017,0,39000,0,0,37900,190
gl 350,1/02/2015,0,136000,1,1,38000,258
glb 200,1/05/2020,0,72560,0,0,43900,150
b 180,1/12/2019,0,48421,0,0,26900,116
c 220,1/02/2022,0,10800,0,0,62000,200
a 200,1/05/2022,0,15000,1,0,40000,150
e 220,1/06/2017,0,36900,0,0,40500,194
a 200,1/12/2014,0,98750,1,1,19200,136
e 220,1/02/2020,0,90400,0,0,43600,193
a 180,1/06/2019,0,77285,0,0,29400,116
cla 180,1/12/2014,0,110000,1,0,18900,109
a 200,1/03/2017,0,88000,1,1,23500,136
slc 250,1/04/2017,0,61200,0,0,34900,204
e 220,1/02/2022,0,20987,0,1,49800,194
glc 250,1/02/2017,0,139000,0,1,29900,204
a 180,1/03/2022,0,28000,1,1,36000,116
c 220,1/08/2017,0,60000,0,1,26990,170
b 200,1/11/2012,0,199000,0,1,10990,136
c 200,1/05/2016,0,107900,1,0,19500,136
b 180,1/10/2020,0,80012,0,0,25300,116
c 220,1/12/2015,0,79900,0,0,24400,170
b 200,1/05/2012,0,240000,1,1,10000,136
c 220,1/03/2018,0,69000,1,0,32400,170
a 180,1/02/2017,0,108000,0,1,17490,109
a 180,1/12/2011,0,155000,1,1,7000,109
c 220,1/04/2016,0,168000,1,1,26000,170
c 180,1/05/2019,0,69564,0,0,26990,122
c 220,1/01/2019,0,63000,0,0,37900,194
c 220,1/06/2016,0,105000,0,1,26400,170
a 180,1/03/2015,0,203748,1,0,12000,109
cla 180,1/11/2016,0,84000,1,1,19500,109
gla 180,1/03/2016,0,142800,0,0,20990,109
cla 200,1/04/2021,0,94493,0,0,42600,150
cla 200,1/11/2016,0,125000,1,1,19900,136
c 180,1/03/2013,0,150000,1,1,9400,120
cla 200,1/06/2015,0,80000,1,1,21100,136
b 160,1/09/2015,0,77432,0,1,15990,90
glc 250,1/02/2019,0,78000,0,0,33900,204
v,1/10/2014,0,420000,0,1,28000,190
c 220,1/05/2022,0,6716,0,0,54900,194
glc 220,1/05/2018,0,123940,0,0,38600,170
cla 220,1/11/2013,0,190000,1,1,18700,170
c 220,1/11/2018,0,53700,0,0,26900,170
a 180,1/07/2021,0,19300,0,0,32400,116
a 180,1/03/2019,0,68000,1,1,35000,109
c 180,1/12/2016,0,125000,1,1,20000,116
b 180,1/12/2013,0,100000,1,1,15500,109
e 350,1/04/2018,0,130000,1,0,34900,258
cla 200,1/12/2019,0,70339,0,0,32800,150
a 180,1/05/2022,0,14050,0,0,35900,116
gla 180,1/08/2017,0,76500,1,1,23500,109
e 350,1/11/2010,0,250000,1,1,12500,231
b 180,1/05/2014,0,187800,1,1,10500,109
ml 300,1/12/2010,0,159000,0,1,17800,204
a 180,1/10/2020,0,57000,1,1,29000,116
cla 200,1/08/2022,0,5100,1,1,47850,150
cla 180,1/04/2017,0,180000,1,1,19000,109
c 220,1/02/2016,0,115780,1,1,21000,170
cla 200,1/07/2020,0,42000,0,0,35900,150
vito,1/10/2016,0,159606,0,1,29700,163
glc 250,1/05/2018,0,142000,0,0,45900,204
cla 200,1/02/2019,0,70542,0,0,22900,136
b 180,1/01/2014,0,139000,0,1,11900,109
b 180,1/10/2012,0,245000,1,1,11000,109
a 180,1/05/2019,0,139000,1,1,19500,116
e 220,1/09/2016,0,129613,0,0,25900,194
a 180,1/06/2014,0,200000,1,1,11000,110
b 180,1/04/2017,0,39000,1,1,23000,109
glc 220,1/09/2020,0,18000,0,0,50950,194
a 180,1/03/2015,0,211050,1,0,13100,109
e 220,1/09/2021,0,99473,0,0,47900,194
b 180,1/01/2013,0,172000,0,1,12999,109
b 180,1/10/2016,0,320000,0,1,8700,109
b 200,1/03/2020,0,49856,0,0,34600,150
vito,1/11/2018,0,112980,0,1,21900,136
gla 200,1/07/2017,0,87000,0,0,23995,136
glc 250,1/03/2016,0,252000,1,1,22500,204
b 180,1/04/2016,0,64000,1,1,18500,122
gla 200,1/08/2020,0,34000,1,0,37000,150
e 220,1/09/2018,0,78000,0,0,39000,194
cls 350,1/07/2020,0,101567,0,0,60900,286
citan,1/10/2019,0,44973,0,1,22900,110
cla 200,1/06/2022,0,14800,1,0,40000,150
a 180,1/06/2016,0,95000,1,0,18500,109
gls 350,1/09/2016,0,89900,0,0,62500,258
c 180,1/04/2017,0,88000,1,1,19900,116
a 200,1/04/2017,0,69000,1,1,24400,136
b 180,1/11/2016,0,111000,0,1,16550,109
s 350,1/03/2010,0,110000,0,1,28500,235
e 220,1/07/2018,0,88000,1,0,51900,194
gla 200,1/04/2014,0,154113,1,0,17500,136
a 180,1/05/2015,0,135000,1,1,15500,109
e 250,1/12/2012,0,130000,1,1,11000,204
gla 200,1/05/2019,0,59900,0,0,26990,136
b 180,1/07/2020,0,62871,0,0,29500,116
c 200,1/12/2013,0,119000,1,1,18000,136
g 350,1/03/2017,0,42476,0,0,98900,245
gla 200,1/09/2020,0,42389,0,0,43900,150
cla 200,1/03/2019,0,86788,0,0,28900,136
cla 200,1/09/2015,0,160000,0,0,15500,136
e 300,1/10/2019,0,92000,1,0,43900,245
glb 200,1/11/2020,0,21890,0,0,42890,150
glc 220,1/11/2016,0,158000,0,0,30500,170
c 220,1/04/2016,0,50932,1,0,29900,170
cla 180,1/03/2022,0,18289,0,1,36900,116
c 220,1/01/2018,0,99000,0,0,24900,170
e 220,1/11/2010,0,150000,0,0,13900,170
b 180,1/04/2010,0,120000,0,1,7999,109
c 220,1/07/2021,0,34000,0,0,48500,194
cla 200,1/11/2017,0,52000,1,1,28000,136
glc 200,1/02/2021,0,49694,0,0,56400,162
c 350,1/02/2011,0,205000,1,0,11999,231
cla 200,1/05/2015,0,178655,0,0,17400,136
glc 250,1/09/2018,0,247000,0,0,29900,204
vito,1/04/2012,0,320000,0,0,13000,136
a 220,1/03/2014,0,209000,1,1,15600,170
c 220,1/05/2018,0,75000,0,1,32900,170
a 180,1/07/2014,0,159000,0,0,14900,109
b 180,1/07/2013,0,118000,0,0,13900,109
g 400,1/01/2023,0,4990,0,1,187000,330
cls 350,1/09/2013,0,296000,1,1,15800,265
a 200,1/03/2016,0,76000,0,1,22500,136
gle 350,1/08/2016,0,74129,0,0,44900,258
citan,1/11/2020,0,26000,0,1,17500,116
c 220,1/06/2016,0,182000,1,0,26000,170
gla 220,1/12/2016,0,75000,1,0,25250,170
gla 200,1/02/2016,0,95000,1,1,22500,136
b 180,1/01/2014,0,143723,1,1,12600,109
glc 220,1/04/2018,0,189000,0,0,25500,170
gla 200,1/05/2016,0,240000,1,0,18900,136
glc 220,1/11/2016,0,209852,0,1,19800,148
e 350,1/11/2013,0,191000,1,1,25200,252
b 180,1/03/2017,0,47450,1,0,21500,109
a 180,1/03/2016,0,47000,1,1,17900,109
b 180,1/06/2015,0,160000,0,1,13900,109
b 200,1/09/2018,0,41265,0,0,23000,136
b 180,1/11/2019,0,47746,0,0,26500,116
viano,1/01/2012,0,170600,0,0,28600,224
a 180,1/07/2019,0,78000,0,0,25500,116
glc 250,1/06/2017,0,91760,0,0,38200,204
e 250,1/12/2012,0,135000,1,1,11000,204
c 220,1/04/2014,0,255000,1,1,16500,170
gle 350,1/03/2017,0,138000,0,0,39999,258
c 220,1/09/2018,0,87000,1,1,30000,170
gla 200,1/10/2016,0,62000,0,0,24600,136
a 180,1/07/2018,0,60000,1,0,26000,116
a 180,1/01/2012,0,149000,0,1,4500,109
e 220,1/11/2017,0,89449,0,0,32500,194
c 220,1/03/2020,0,50000,1,1,36800,194
cls 350,1/08/2011,0,299000,1,0,14000,265
cla 180,1/08/2019,0,51605,0,0,31900,116
gla 220,1/01/2015,0,140000,0,0,18999,170
a 180,1/01/2014,0,160000,1,0,14500,109
a 180,1/11/2013,0,73997,0,0,15100,109
gla 220,1/10/2014,0,96000,1,1,21000,170
a 180,1/09/2017,0,99000,1,0,21900,109
cla 200,1/02/2019,0,34500,1,0,30000,136
c 200,1/12/2011,0,260000,1,1,8500,136
glc 350,1/06/2017,0,87400,0,0,41900,258
glc 250,1/08/2018,0,125000,1,1,36950,204
a 180,1/05/2022,0,10583,0,0,33000,116
b 200,1/01/2019,0,34233,0,0,25950,136
a 180,1/06/2017,0,97335,0,0,23850,109
cla 220,1/01/2017,0,130256,1,0,23000,177
c 200,1/07/2012,0,161000,1,1,8900,136
glk 220,1/01/2013,0,79000,1,0,22500,170
glc 250,1/06/2017,0,114000,1,1,38500,204
b 200,1/02/2012,0,247000,1,1,11000,136
a 200,1/10/2020,0,57738,0,0,30500,150
a 200,1/02/2014,0,109548,0,1,17300,136
cls 250,1/11/2011,0,142500,1,1,18000,204
e 220,1/06/2021,0,23754,0,0,52800,194
gle 350,1/03/2021,0,75000,1,0,86400,272
ml 350,1/12/2010,0,258000,1,0,13900,231
c 220,1/05/2011,0,199000,1,0,12000,170
a 180,1/01/2019,0,61234,0,0,27900,116
gla 200,1/11/2018,0,75000,1,1,28999,136
gla 200,1/02/2016,0,166000,1,0,22900,136
cla 200,1/08/2018,0,88000,0,0,22900,136
glc 250,1/01/2018,0,94036,0,0,40300,204
b 160,1/04/2014,0,156000,0,1,12000,90
gla 200,1/01/2021,0,113224,0,0,36000,150
viano,1/10/2010,0,320000,1,0,14000,204
c 200,1/12/2015,0,135000,0,0,19900,136
c 220,1/04/2018,0,96000,1,0,26500,170
a 200,1/12/2016,0,73000,1,1,24500,136
cla 220,1/10/2015,0,115000,1,0,21000,177
a 180,1/09/2014,0,139000,1,1,13500,109
gla 200,1/02/2022,0,13324,0,0,51999,150
glk 220,1/02/2010,0,150000,1,1,12900,170
a 160,1/01/2016,0,168000,1,1,14800,90
a 180,1/03/2018,0,97600,1,0,19500,109
gla 200,1/01/2018,0,96000,1,1,27000,136
a 180,1/11/2018,0,80000,1,0,27300,116
c 220,1/08/2017,0,125000,1,0,28500,170
c 200,1/03/2017,0,100600,1,0,22500,136
ml 350,1/06/2013,0,170000,1,0,25000,258
a 180,1/10/2018,0,59444,0,0,27400,116
cla 220,1/04/2016,0,115000,0,0,22900,177
e 220,1/12/2020,0,20750,1,0,64800,194
gle 350,1/06/2016,0,90000,0,0,36999,258
a 180,1/05/2014,0,172000,1,1,16900,109
vito,1/07/2012,0,326000,1,0,14900,140
e 250,1/01/2011,0,86500,0,0,16900,204
e 220,1/05/2021,0,33000,0,0,49900,194
a 180,1/12/2017,0,79823,0,0,19990,109
a 180,1/03/2019,0,90000,1,1,34999,116
ml 250,1/12/2013,0,190000,0,0,18900,204
gle 350,1/02/2018,0,163000,0,0,39500,258
e 220,1/01/2018,0,74800,1,1,41500,194
c 200,1/09/2011,0,400000,1,1,9000,136
b 180,1/07/2017,0,79000,0,1,18800,110
a 160,1/04/2011,0,110000,0,0,6700,82
cla 200,1/01/2017,0,109000,1,0,21000,156
a 180,1/08/2010,0,223000,1,1,4000,109
e 220,1/06/2013,0,42500,1,0,21000,170
glk 220,1/11/2010,0,250000,1,0,14000,170
c 200,1/12/2014,0,140000,0,0,19500,136
b 180,1/01/2018,0,119000,0,0,18400,109
gla 200,1/07/2017,0,127000,0,0,22900,136
b 200,1/03/2021,0,25200,0,0,35900,150
gla 200,1/02/2016,0,100000,1,0,23500,136
b 200,1/06/2018,0,41500,0,0,24900,136
c 200,1/08/2015,0,182000,1,1,15500,136
b 180,1/09/2014,0,120000,1,0,14500,109
c 220,1/07/2016,0,125000,0,0,18499,170
c 220,1/01/2017,0,90000,1,1,28900,177
c 220,1/03/2017,0,94000,1,0,30000,170
a 200,1/04/2016,0,55000,1,1,21500,136
c 220,1/05/2015,0,270000,0,0,16500,170
glc 250,1/11/2018,0,110210,0,0,36500,204
a 180,1/04/2013,0,180000,1,1,14500,109
a 180,1/09/2016,0,115000,1,1,20500,109
glc 220,1/05/2017,0,101000,0,0,33995,170
e 220,1/10/2011,0,121000,0,0,17300,170
a 180,1/03/2018,0,139000,1,0,19500,109
c 220,1/05/2016,0,182016,0,0,20800,170
vito,1/05/2020,0,167000,0,1,18900,136
gle 350,1/09/2016,0,149797,0,0,38900,258
b 180,1/06/2014,0,100000,1,1,16000,109
e 350,1/10/2011,0,119500,0,0,24500,231
gla 200,1/11/2020,0,121124,1,0,38000,150
a 200,1/11/2019,0,50300,0,0,26900,150
a 180,1/05/2019,0,45300,0,0,29980,116
ml 320,1/05/2010,0,196000,1,0,13500,224
gla 180,1/05/2016,0,279891,0,1,13800,109
cla 220,1/04/2016,0,125000,0,0,22500,177
e 300,1/05/2021,0,58000,1,1,75000,245
b 200,1/05/2012,0,146000,1,1,12500,136
c 250,1/02/2017,0,147000,0,0,24500,204
e 220,1/11/2020,0,12400,0,0,51800,194
glc 220,1/10/2015,0,300000,0,0,21999,170
cla 220,1/09/2018,0,85000,1,0,28500,177
a 180,1/06/2022,0,11900,0,0,33900,116
e 220,1/03/2019,0,230000,0,0,24900,194
cla 180,1/12/2021,0,12252,0,0,37500,116
c 220,1/11/2011,0,113000,1,1,14500,170
b 180,1/02/2010,0,173000,0,0,7800,109
gla 180,1/04/2021,0,90000,0,0,38400,116
vito,1/07/2020,0,171000,0,1,27800,136
b 180,1/04/2013,0,84444,1,1,13000,109
e 220,1/01/2018,0,44000,1,0,47900,194
b 180,1/07/2015,0,236000,0,0,11900,109
gle 350,1/01/2019,0,69547,0,0,60000,258
gla 200,1/01/2016,0,135000,1,1,20650,136
b 180,1/12/2017,0,61000,1,1,18900,109
gle 350,1/08/2018,0,145000,0,1,45000,258
b 180,1/07/2019,0,40396,0,0,29200,116
v 250,1/02/2021,0,14860,0,0,51900,190
c 220,1/05/2017,0,87816,0,1,26800,170
ml 250,1/10/2013,0,196000,1,0,25500,204
b 180,1/09/2018,0,58683,0,0,22390,109
c 250,1/12/2014,0,244000,1,1,18800,204
vito,1/12/2017,0,69000,0,1,18900,114
glc 220,1/01/2018,0,149000,0,0,31900,204
a 180,1/01/2019,0,31800,0,0,29900,116
gla 200,1/02/2021,0,39000,0,0,44500,150
